author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Sminex-Интеко;https://www.cian.ru/sale/flat/281050870/;Москва;sale;flat;13;14;5;417.3;2030850000;Якиманка;;Третьяковская;Лаврушинский ЖК
Premium Realty;https://www.cian.ru/sale/flat/271525324/;Москва;sale;flat;36;37;5;440;94890000;Тропарево-Никулино;проспект Вернадского;Тропарёво;Миракс Парк
Sminex-Интеко;https://www.cian.ru/sale/flat/281050945/;Москва;sale;flat;7;8;5;459.4;2054630000;Якиманка;;Третьяковская;Лаврушинский ЖК
Premium Realty;https://www.cian.ru/sale/flat/288048189/;Москва;sale;flat;35;36;5;455;94900000;Тропарево-Никулино;проспект Вернадского;Тропарёво;Миракс Парк
Capital Group;https://www.cian.ru/sale/flat/277550923/;Москва;sale;flat;52;67;5;207.01;248400000;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
Gethome;https://www.cian.ru/sale/flat/287713870/;Москва;sale;flat;6;12;5;170.1;221130000;Раменки;Мосфильмовская;Ломоносовский проспект;Вишневый сад
Группа ЛСР;https://www.cian.ru/sale/flat/275404876/;Москва;sale;flat;6;15;5;138.2;75989557;Даниловский;набережная Марка Шагала;Верхние котлы;ЗИЛАРТ
Винидиктов и Партнеры;https://www.cian.ru/sale/flat/288320509/;Москва;sale;flat;17;18;5;345;99000000;Раменки;Мичуринский проспект;Раменки;
Capital Group;https://www.cian.ru/sale/flat/274547659/;Москва;sale;flat;16;67;5;151.36;145000000;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
BARNES International Realty;https://www.cian.ru/sale/flat/274548013/;Москва;sale;flat;3;18;5;335;150000000;Марьина роща;Октябрьский переулок;Достоевская;
А101;https://www.cian.ru/sale/flat/273424612/;Москва;sale;flat;2;13;5;151.9;31780424;;;Прокшино;
Kalinka Group;https://www.cian.ru/sale/flat/286129802/;Москва;sale;flat;5;5;5;317.7;200000000;Покровское-Стрешнево;Береговая;Балтийская;
А101;https://www.cian.ru/sale/flat/273052867/;Москва;sale;flat;2;16;5;151.8;34067199;;;Прокшино;
Monumental Group;https://www.cian.ru/sale/flat/282294145/;Москва;sale;flat;3;5;5;187;73000000;Тверской;Большая Дмитровка;;
Группа ЛСР;https://www.cian.ru/sale/flat/275404214/;Москва;sale;flat;2;14;5;120.7;39981699;Даниловский;набережная Марка Шагала;ЗИЛ;ЗИЛАРТ
Delight  Realty;https://www.cian.ru/sale/flat/287687091/;Москва;sale;flat;9;19;5;180.8;75000000;Хорошевский;Викторенко;Аэропорт;
;https://www.cian.ru/sale/flat/267352374/;Москва;sale;flat;10;12;5;137.3;76340000;Сокол;Врубеля;Панфиловская;Врубеля 4
Kalinka Group;https://www.cian.ru/sale/flat/255261709/;Москва;sale;flat;7;8;5;135.6;95000000;Тверской;Тверская;Тверская;
;https://www.cian.ru/sale/flat/268060263/;Москва;sale;flat;8;12;5;133.7;82570000;Сокол;Врубеля;Панфиловская;Врубеля 4
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/277955044/;Москва;sale;flat;3;8;5;262;593050920;Пресненский;Богословский переулок;Пушкинская;Сытинский
Capital Group;https://www.cian.ru/sale/flat/277550922/;Москва;sale;flat;49;67;5;169.3;180000000;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/286714964/;Москва;sale;flat;9;9;5;288.8;243000000;Замоскворечье;Большая Татарская;Третьяковская;Четыре солнца
;https://www.cian.ru/sale/flat/275277408/;Москва;sale;flat;2;18;5;251;251000000;Раменки;;Ломоносовский проспект;Вудс ЖК
Moscow Estate Group;https://www.cian.ru/sale/flat/287964957/;Москва;sale;flat;23;26;5;132.2;78000000;Очаково-Матвеевское;Нежинская;Давыдково;Городские резиденции SPIRES
AB Development;https://www.cian.ru/sale/flat/258945659/;Москва;sale;flat;8;9;5;190.68;295554000;Раменки;Мосфильмовская;Ломоносовский проспект;Вишневый сад
Chase R.E.S.;https://www.cian.ru/sale/flat/288171476/;Москва;sale;flat;16;17;5;187;54000000;Даниловский;проспект Лихачева;Технопарк;Квартал на набережной NOW
;https://www.cian.ru/sale/flat/275277407/;Москва;sale;flat;1;18;5;369.8;314330000;Раменки;;Ломоносовский проспект;Вудс ЖК
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/283202699/;Москва;sale;flat;8;15;5;201;82500000;Ломоносовский;Академика Пилюгина;Новаторская;
AB Development;https://www.cian.ru/sale/flat/258945674/;Москва;sale;flat;8;8;5;232.5;395590000;Раменки;Мосфильмовская;Ломоносовский проспект;Вишневый сад
