author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
ПИК;https://www.cian.ru/sale/flat/274814269/;Москва;sale;flat;24;32;1;22.4;6487822;Северное Медведково;к1.3;Медведково;Полар ЖК
ZIP Realty;https://www.cian.ru/sale/flat/287950904/;Москва;sale;flat;5;8;-1;16;5939376;Преображенское;Электрозаводская;Электрозаводская;
ПИК;https://www.cian.ru/sale/flat/275859563/;Москва;sale;flat;11;11;1;21.6;6522930;Северное Медведково;к1.2;Медведково;Полар ЖК
Владис;https://www.cian.ru/sale/flat/284571040/;Москва;sale;flat;3;14;1;28;16500000;Раменки;проспект Генерала Дорохова;Минская;West Garden
ПИК;https://www.cian.ru/sale/flat/283554369/;Москва;sale;flat;2;24;1;21.8;6543426;Отрадное;;Отрадное;Римского-Корсакова 11 ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/286778293/;Москва;sale;flat;1;9;-1;15.5;5529120;Даниловский;4-й Рощинский проезд;Тульская;
ПИК;https://www.cian.ru/sale/flat/279627680/;Москва;sale;flat;30;33;1;20;6596000;Западное Дегунино;Северный ао;Бескудниково;Бусиновский Парк ЖК
МАКСИМУМ;https://www.cian.ru/sale/flat/287944724/;Москва;sale;flat;4;8;-1;15.7;5681489;Преображенское;Электрозаводская;Электрозаводская;
ПИК;https://www.cian.ru/sale/flat/286096156/;Москва;sale;flat;10;14;1;20.5;6570295;;;Филатов Луг;Саларьево Парк ЖК
ZIP Realty;https://www.cian.ru/sale/flat/287830826/;Москва;sale;flat;1;9;1;15.5;5529120;Даниловский;4-й Рощинский проезд;Тульская;
Группа ЛСР;https://www.cian.ru/sale/flat/287832135/;Москва;sale;flat;8;23;1;21.5;6591628;Чертаново Центральное;;Покровское;Парксайд ЖК
МАКСИМУМ;https://www.cian.ru/sale/flat/287944722/;Москва;sale;flat;2;8;-1;29.2;7527337;Преображенское;Электрозаводская;Электрозаводская;
ПИК;https://www.cian.ru/sale/flat/288241427/;Москва;sale;flat;26;33;1;22.4;6601245;Алтуфьевский;;Отрадное;Алтуфьевское 53 ЖК
One Moscow;https://www.cian.ru/sale/flat/278896168/;Москва;sale;flat;20;44;1;23.8;10900000;Очаково-Матвеевское;;Аминьевская;Левел Мичуринский ЖК
ФСК;https://www.cian.ru/sale/flat/287254264/;Москва;sale;flat;-1;-1;-1;202;6613325;;;Тропарёво;
ZIP Realty;https://www.cian.ru/sale/flat/285607351/;Москва;sale;flat;1;9;-1;13.7;4829061;Даниловский;4-й Рощинский проезд;Тульская;
Абсолют Недвижимость;https://www.cian.ru/sale/flat/287504778/;Москва;sale;flat;2;19;1;27.9;6609892;;;Филатов Луг;
ID 73034431;https://www.cian.ru/sale/flat/285867508/;Москва;sale;flat;11;16;-1;20;5000000;Отрадное;Алтуфьевское шоссе;Владыкино;Апарт-комплекс Ботаник
А101;https://www.cian.ru/sale/flat/279343462/;Москва;sale;flat;8;19;1;24;6720349;;;Бунинская аллея;
